sampleid,Missing Variables
19_KGH5_R10,"roomwidth, roomlength, nummasksstart, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
20_SQ1_R1,"nummasksstart, openwinarea, smallestopenwinarea, numfanon, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
21_SQ1_R2,"nummasksstart, openwinarea, smallestopenwinarea, numfanon, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
22_SQ2_R3,"roomwidth, roomlength, nummasksstart, openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
23_SQ2_R4,"roomwidth, roomlength, nummasksstart, openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
24_SQ3_R5,"roomwidth, roomlength, co2_20min, co2_20minnew, nummasksstart, openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
25_SQ3_R6,"roomwidth, roomlength, nummasksstart, numcovidend, numnoncovidend, numstaffend, numotherend, numpeopleend, popdensityend, openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, ventrateend, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
26_SQ3_R7,"roomwidth, roomlength, nummasksstart, openwinarea, smallestopenwinarea, numfanon, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
27_SQ4_R8,"roomwidth, roomlength, nummasksstart, openwinarea, smallestopenwinarea, numfanon, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
28_SQ4_R9,"co2_5min, co2_10min, co2_15min, co2_20min, co2_25min, co2_5minnew, co2_10minnew, co2_15minnew, co2_20minnew, co2_25minnew, nummasksstart, openwinarea, smallestopenwinarea, numfanon, wintofloorarea, windoortofloorarea, ventratemid, rnadate"
29_SQ4_R10,"co2_10min, co2_15min, co2_20min, co2_25min, co2_10minnew, co2_15minnew, co2_20minnew, co2_25minnew, nummasksstart, openwinarea, smallestopenwinarea, numfanon, wintofloorarea, windoortofloorarea, ventratemid, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
30_DMC1_R1,"nummasksstart, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
31_DMC1_R2,"nummasksstart, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
32_DMC1_R3,"nummasksstart, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, rnadate"
33_DMC2_R4,"nummasksstart, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
34_DMC2_R5,"nummasksstart, n2quantityreaction, n2quantitysamplex10, rnadate"
35_DMC2_R6,"nummasksstart, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, n2quantityreaction, n2quantitysamplex10, rnadate"
36_DMC2_R7,"co2_5min, co2_10min, co2_15min, co2_20min, co2_25min, co2end, co2_5minnew, co2_10minnew, co2_15minnew, co2_20minnew, co2_25minnew, co2endnew, nummasksstart, numfanon, humidityend, tempend, ventratemid, ventrateend, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
37_DMC3_R8,"nummasksstart, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
38_DMC3_R9,"nummasksstart, distdoor, openwinarea, smallestopenwinarea, numfanon, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
39_DMC3_R10,"nummasksstart, numnasal, openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
40_DMC4_R11,"roomwidth, roomlength, numcovidmid, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, rnadate"
41_DMC4_R12,"openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, rnadate"
42_DMC4_R13,"nummasksstart, numfanon, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
43_DMC5_R14,"nummasksstart, numfanon, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
44_DMC5_R15,"nummasksstart, openwinarea, smallestopenwinarea, numfanon, wintofloorarea, windoortofloorarea, rnadate"
45_DMC5_R16,"nummasksstart, numfanon, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
46_DMC6_R17,"nummasksstart, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
47_DMC6_R18,"nummasksstart, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, rnadate"
48_DMC6_R19,"nummasksstart, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
49_DMC6_R20,"nummasksstart, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
50_MM1_R1,"nummasksstart, openwinarea, smallestopenwinarea, numacon, wintofloorarea, windoortofloorarea, notes, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
51_MM1_R2,"nummasksstart, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, notes, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
52_MM1_R3,"nummasksstart, openwinarea, smallestopenwinarea, totfan, numfanon, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
53_MM2_R4,"nummasksstart, n2quantityreaction, n2quantitysamplex10, rnadate"
54_MM2_R5,"nummasksstart, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
55_MM2_R6,"nummasksstart, numfanon, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
56_MM3_R7,"nummasksstart, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, n2quantityreaction, n2quantitysamplex10, rnadate"
57_MM3_R8,"co2end, co2endnew, nummasksstart, numfanon, ventrateend, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
58_MM3_R9,"nummasksstart, numfanon, tempend, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
59_KM1_R1,"nummasksstart, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, rnadate"
60_KM1_R2,"nummasksstart, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
61_KM1_R3,"nummasksstart, openwinarea, smallestopenwinarea, numfanon, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
62_KM2_R4,"nummasksstart, openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, wintofloorarea, doortofloorarea, windoortofloorarea, notes, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
63_KM2_R5,"nummasksstart, numfanon, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
64_KM2_R6,"co2_15min, co2_20min, co2_25min, co2_15minnew, co2_20minnew, co2_25minnew, nummasksstart, numwinfullopen, numwinopen, openwinarea, smallestopenwinarea, numwintotal, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, ventratemid, notes, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
65_EC1_R1,"roomwidth, roomlength, co2start, co2startnew, numcovidstart, numnoncovidstart, numfanon, ventratestart, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
66_EC1_R2,"openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, n2quantityreaction, n2quantitysamplex10, rnadate"
67_EC1_R3,"nummasksstart, numcovidmid, numnoncovidmid, numstaffmid, numothermid, numpeoplemid, popdensitymid, distdoor, openwinarea, smallestopenwinarea, numfanon, wintofloorarea, windoortofloorarea, ventratemid, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
68_EC2_R4,"nummasksstart, openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
69_EC2_R5,"nummasksstart, openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
70_EC2_R6,"nummasksstart, openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, notes, rnadate"
71_EC3_R7,"nummasksstart, numcpap, openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
72_EC3_R8,"roomwidth, roomlength, nummasksstart, openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, notes, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
73_EC3_R9,"nummasksstart, openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, notes, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
74_EC4_R10,"roomwidth, roomlength, co2_15min, co2_15minnew, numcovidstart, numnoncovidstart, numnoncovidmid, numcovidend, numnoncovidend, openwinarea, smallestopenwinarea, numfanon, wintofloorarea, windoortofloorarea, ventratemid, notes, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
75_EC4_R11,"roomwidth, roomlength, openwinarea, smallestopenwinarea, numfanon, wintofloorarea, windoortofloorarea, notes, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
76_EC4_R12,"numcovidstart, numnoncovidstart, numstaffstart, openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, notes, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
77_EC5_R13,"roomwidth, roomlength, openwinarea, smallestopenwinarea, numfanon, wintofloorarea, windoortofloorarea, n2quantityreaction, n2quantitysamplex10, rnadate"
78_EC5_R14,"roomwidth, roomlength, numwinfullopen, numwinopen, openwinarea, smallestopenwinarea, numwintotal, numfanon, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
79_EC5_R15,"numoxymask, numcpap, numintub, distpatient, openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
80_EC5_R16,"co2start, co2startnew, nummasksstart, openwinarea, smallestopenwinarea, numfanon, tempstart, humiditystart, wintofloorarea, windoortofloorarea, ventratestart, notes, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
81_SH2_R4,"openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, rnadate"
82_SH2_R5,"n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
83_SH2_R6,"nummasksstart, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, n2quantityreaction, n2quantitysamplex10, rnadate"
84_ICD2_R3,"roomwidth, roomlength, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
85_ICD2_R4,"nummasksstart, numcovidmid, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
86_ICD2_R5,"nummasksstart, distpatient, distwindow, distdoor, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
87_ICD2_R6,"roomwidth, roomlength, nummasksstart, openwinarea, smallestopenwinarea, opendoorarea, smallestopendoorarea, numfanon, wintofloorarea, doortofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
